[2026-05-13 12:47:47] =======================================================
[2026-05-13 12:47:47] NUEVA EJECUCIÓN
[2026-05-13 12:47:47] Material          : PLA
[2026-05-13 12:47:47] Perfil            : Funcional
[2026-05-13 12:47:47] Tamaño población  : 200
[2026-05-13 12:47:47] Generaciones      : 500
[2026-05-13 12:47:47] Tasa cruce        : 0.8
[2026-05-13 12:47:47] Tasa mutación     : 0.1
[2026-05-13 12:47:47] Torneo K          : 3
[2026-05-13 12:47:47] --- Evolución ---
[2026-05-13 12:47:47] Gen 0001 | Mejor fitness: 0.799140 | Promedio: 0.691688
[2026-05-13 12:47:47] Gen 0002 | Mejor fitness: 0.799140 | Promedio: 0.739809
[2026-05-13 12:47:47] Gen 0003 | Mejor fitness: 0.803430 | Promedio: 0.763568
[2026-05-13 12:47:47] Gen 0004 | Mejor fitness: 0.803430 | Promedio: 0.778817
[2026-05-13 12:47:47] Gen 0005 | Mejor fitness: 0.805541 | Promedio: 0.788534
[2026-05-13 12:47:47] Gen 0006 | Mejor fitness: 0.807058 | Promedio: 0.794798
[2026-05-13 12:47:47] Gen 0007 | Mejor fitness: 0.807058 | Promedio: 0.799129
[2026-05-13 12:47:47] Gen 0008 | Mejor fitness: 0.807307 | Promedio: 0.802503
[2026-05-13 12:47:47] Gen 0009 | Mejor fitness: 0.808768 | Promedio: 0.804266
[2026-05-13 12:47:47] Gen 0010 | Mejor fitness: 0.809345 | Promedio: 0.805505
[2026-05-13 12:47:47] Gen 0011 | Mejor fitness: 0.809675 | Promedio: 0.806688
[2026-05-13 12:47:47] Gen 0012 | Mejor fitness: 0.809874 | Promedio: 0.807453
[2026-05-13 12:47:47] Gen 0013 | Mejor fitness: 0.810020 | Promedio: 0.808266
[2026-05-13 12:47:47] Gen 0014 | Mejor fitness: 0.810097 | Promedio: 0.808909
[2026-05-13 12:47:47] Gen 0015 | Mejor fitness: 0.810100 | Promedio: 0.809196
[2026-05-13 12:47:47] Gen 0016 | Mejor fitness: 0.810235 | Promedio: 0.809021
[2026-05-13 12:47:47] Gen 0017 | Mejor fitness: 0.810271 | Promedio: 0.809562
[2026-05-13 12:47:47] Gen 0018 | Mejor fitness: 0.810275 | Promedio: 0.809417
[2026-05-13 12:47:47] Gen 0019 | Mejor fitness: 0.810275 | Promedio: 0.809614
[2026-05-13 12:47:47] Gen 0020 | Mejor fitness: 0.810275 | Promedio: 0.809342
[2026-05-13 12:47:47] Gen 0021 | Mejor fitness: 0.810282 | Promedio: 0.809647
[2026-05-13 12:47:47] Gen 0022 | Mejor fitness: 0.810282 | Promedio: 0.809724
[2026-05-13 12:47:47] Gen 0023 | Mejor fitness: 0.810282 | Promedio: 0.809572
[2026-05-13 12:47:47] Gen 0024 | Mejor fitness: 0.810288 | Promedio: 0.809656
[2026-05-13 12:47:47] Gen 0025 | Mejor fitness: 0.810288 | Promedio: 0.809733
[2026-05-13 12:47:47] Gen 0026 | Mejor fitness: 0.810367 | Promedio: 0.809847
[2026-05-13 12:47:47] Gen 0027 | Mejor fitness: 0.810369 | Promedio: 0.809781
[2026-05-13 12:47:47] Gen 0028 | Mejor fitness: 0.810378 | Promedio: 0.809570
[2026-05-13 12:47:47] Gen 0029 | Mejor fitness: 0.810378 | Promedio: 0.809526
[2026-05-13 12:47:47] Gen 0030 | Mejor fitness: 0.810390 | Promedio: 0.809733
[2026-05-13 12:47:47] Gen 0031 | Mejor fitness: 0.810390 | Promedio: 0.809714
[2026-05-13 12:47:47] Gen 0032 | Mejor fitness: 0.810390 | Promedio: 0.809859
[2026-05-13 12:47:47] Gen 0033 | Mejor fitness: 0.810390 | Promedio: 0.809622
[2026-05-13 12:47:47] Gen 0034 | Mejor fitness: 0.810394 | Promedio: 0.809710
[2026-05-13 12:47:47] Gen 0035 | Mejor fitness: 0.810394 | Promedio: 0.809711
[2026-05-13 12:47:47] Gen 0036 | Mejor fitness: 0.810394 | Promedio: 0.809658
[2026-05-13 12:47:47] Gen 0037 | Mejor fitness: 0.810394 | Promedio: 0.810063
[2026-05-13 12:47:47] Gen 0038 | Mejor fitness: 0.810394 | Promedio: 0.809975
[2026-05-13 12:47:47] Gen 0039 | Mejor fitness: 0.810394 | Promedio: 0.809707
[2026-05-13 12:47:47] Gen 0040 | Mejor fitness: 0.810394 | Promedio: 0.809990
[2026-05-13 12:47:47] Gen 0041 | Mejor fitness: 0.810395 | Promedio: 0.809767
[2026-05-13 12:47:47] Gen 0042 | Mejor fitness: 0.810395 | Promedio: 0.809533
[2026-05-13 12:47:47] Gen 0043 | Mejor fitness: 0.810395 | Promedio: 0.809877
[2026-05-13 12:47:47] Gen 0044 | Mejor fitness: 0.810395 | Promedio: 0.809817
[2026-05-13 12:47:47] Gen 0045 | Mejor fitness: 0.810395 | Promedio: 0.809894
[2026-05-13 12:47:47] Gen 0046 | Mejor fitness: 0.810395 | Promedio: 0.809762
[2026-05-13 12:47:47] Gen 0047 | Mejor fitness: 0.810395 | Promedio: 0.809859
[2026-05-13 12:47:47] Gen 0048 | Mejor fitness: 0.810395 | Promedio: 0.809684
[2026-05-13 12:47:47] Gen 0049 | Mejor fitness: 0.810395 | Promedio: 0.809699
[2026-05-13 12:47:47] Gen 0050 | Mejor fitness: 0.810395 | Promedio: 0.809368
[2026-05-13 12:47:47] Gen 0051 | Mejor fitness: 0.810395 | Promedio: 0.809883
[2026-05-13 12:47:47] Gen 0052 | Mejor fitness: 0.810395 | Promedio: 0.809705
[2026-05-13 12:47:47] Gen 0053 | Mejor fitness: 0.810395 | Promedio: 0.809826
[2026-05-13 12:47:47] Gen 0054 | Mejor fitness: 0.810395 | Promedio: 0.809806
[2026-05-13 12:47:47] Gen 0055 | Mejor fitness: 0.810395 | Promedio: 0.809868
[2026-05-13 12:47:47] Gen 0056 | Mejor fitness: 0.810395 | Promedio: 0.809786
[2026-05-13 12:47:47] Gen 0057 | Mejor fitness: 0.810395 | Promedio: 0.809830
[2026-05-13 12:47:47] Gen 0058 | Mejor fitness: 0.810395 | Promedio: 0.809675
[2026-05-13 12:47:47] Gen 0059 | Mejor fitness: 0.810395 | Promedio: 0.809764
[2026-05-13 12:47:47] Gen 0060 | Mejor fitness: 0.810395 | Promedio: 0.810057
[2026-05-13 12:47:47] Gen 0061 | Mejor fitness: 0.810395 | Promedio: 0.809803
[2026-05-13 12:47:47] Gen 0062 | Mejor fitness: 0.810395 | Promedio: 0.809811
[2026-05-13 12:47:47] Gen 0063 | Mejor fitness: 0.810395 | Promedio: 0.809789
[2026-05-13 12:47:47] Gen 0064 | Mejor fitness: 0.810395 | Promedio: 0.809824
[2026-05-13 12:47:47] Gen 0065 | Mejor fitness: 0.810395 | Promedio: 0.809669
[2026-05-13 12:47:47] Gen 0066 | Mejor fitness: 0.810395 | Promedio: 0.809883
