[2026-05-13 12:48:23] =======================================================
[2026-05-13 12:48:23] NUEVA EJECUCIÓN
[2026-05-13 12:48:23] Material          : ABS
[2026-05-13 12:48:23] Perfil            : Funcional
[2026-05-13 12:48:23] Tamaño población  : 200
[2026-05-13 12:48:23] Generaciones      : 500
[2026-05-13 12:48:23] Tasa cruce        : 0.8
[2026-05-13 12:48:23] Tasa mutación     : 0.1
[2026-05-13 12:48:23] Torneo K          : 3
[2026-05-13 12:48:23] --- Evolución ---
[2026-05-13 12:48:23] Gen 0001 | Mejor fitness: 0.769798 | Promedio: 0.689836
[2026-05-13 12:48:23] Gen 0002 | Mejor fitness: 0.783824 | Promedio: 0.735773
[2026-05-13 12:48:23] Gen 0003 | Mejor fitness: 0.800138 | Promedio: 0.753555
[2026-05-13 12:48:23] Gen 0004 | Mejor fitness: 0.803032 | Promedio: 0.770076
[2026-05-13 12:48:23] Gen 0005 | Mejor fitness: 0.803032 | Promedio: 0.783888
[2026-05-13 12:48:23] Gen 0006 | Mejor fitness: 0.806714 | Promedio: 0.792752
[2026-05-13 12:48:23] Gen 0007 | Mejor fitness: 0.806714 | Promedio: 0.798163
[2026-05-13 12:48:23] Gen 0008 | Mejor fitness: 0.807814 | Promedio: 0.801213
[2026-05-13 12:48:23] Gen 0009 | Mejor fitness: 0.808181 | Promedio: 0.803620
[2026-05-13 12:48:23] Gen 0010 | Mejor fitness: 0.809593 | Promedio: 0.805099
[2026-05-13 12:48:23] Gen 0011 | Mejor fitness: 0.809593 | Promedio: 0.806114
[2026-05-13 12:48:23] Gen 0012 | Mejor fitness: 0.809839 | Promedio: 0.807217
[2026-05-13 12:48:23] Gen 0013 | Mejor fitness: 0.810057 | Promedio: 0.807989
[2026-05-13 12:48:23] Gen 0014 | Mejor fitness: 0.810057 | Promedio: 0.808450
[2026-05-13 12:48:23] Gen 0015 | Mejor fitness: 0.810472 | Promedio: 0.808919
[2026-05-13 12:48:23] Gen 0016 | Mejor fitness: 0.810472 | Promedio: 0.809125
[2026-05-13 12:48:23] Gen 0017 | Mejor fitness: 0.810493 | Promedio: 0.809311
[2026-05-13 12:48:23] Gen 0018 | Mejor fitness: 0.810515 | Promedio: 0.809459
[2026-05-13 12:48:23] Gen 0019 | Mejor fitness: 0.810544 | Promedio: 0.809656
[2026-05-13 12:48:23] Gen 0020 | Mejor fitness: 0.810609 | Promedio: 0.809649
[2026-05-13 12:48:23] Gen 0021 | Mejor fitness: 0.810609 | Promedio: 0.809616
[2026-05-13 12:48:23] Gen 0022 | Mejor fitness: 0.810609 | Promedio: 0.809836
[2026-05-13 12:48:23] Gen 0023 | Mejor fitness: 0.810672 | Promedio: 0.809757
[2026-05-13 12:48:23] Gen 0024 | Mejor fitness: 0.810672 | Promedio: 0.809995
[2026-05-13 12:48:23] Gen 0025 | Mejor fitness: 0.810672 | Promedio: 0.809929
[2026-05-13 12:48:23] Gen 0026 | Mejor fitness: 0.810686 | Promedio: 0.809938
[2026-05-13 12:48:23] Gen 0027 | Mejor fitness: 0.810699 | Promedio: 0.810207
[2026-05-13 12:48:23] Gen 0028 | Mejor fitness: 0.810701 | Promedio: 0.809807
[2026-05-13 12:48:23] Gen 0029 | Mejor fitness: 0.810701 | Promedio: 0.809966
[2026-05-13 12:48:23] Gen 0030 | Mejor fitness: 0.810701 | Promedio: 0.810181
[2026-05-13 12:48:23] Gen 0031 | Mejor fitness: 0.810701 | Promedio: 0.810315
[2026-05-13 12:48:23] Gen 0032 | Mejor fitness: 0.810701 | Promedio: 0.809708
[2026-05-13 12:48:23] Gen 0033 | Mejor fitness: 0.810701 | Promedio: 0.810047
[2026-05-13 12:48:23] Gen 0034 | Mejor fitness: 0.810701 | Promedio: 0.809993
[2026-05-13 12:48:23] Gen 0035 | Mejor fitness: 0.810701 | Promedio: 0.810227
[2026-05-13 12:48:23] Gen 0036 | Mejor fitness: 0.810701 | Promedio: 0.810255
[2026-05-13 12:48:23] Gen 0037 | Mejor fitness: 0.810701 | Promedio: 0.810056
[2026-05-13 12:48:23] Gen 0038 | Mejor fitness: 0.810701 | Promedio: 0.809946
[2026-05-13 12:48:23] Gen 0039 | Mejor fitness: 0.810701 | Promedio: 0.810032
[2026-05-13 12:48:23] Gen 0040 | Mejor fitness: 0.810701 | Promedio: 0.809936
[2026-05-13 12:48:23] Gen 0041 | Mejor fitness: 0.810701 | Promedio: 0.810039
[2026-05-13 12:48:23] Gen 0042 | Mejor fitness: 0.810701 | Promedio: 0.810111
[2026-05-13 12:48:23] Gen 0043 | Mejor fitness: 0.810701 | Promedio: 0.810073
[2026-05-13 12:48:23] Gen 0044 | Mejor fitness: 0.810701 | Promedio: 0.810163
[2026-05-13 12:48:23] Gen 0045 | Mejor fitness: 0.810701 | Promedio: 0.810101
[2026-05-13 12:48:23] Gen 0046 | Mejor fitness: 0.810701 | Promedio: 0.810121
[2026-05-13 12:48:23] Gen 0047 | Mejor fitness: 0.810701 | Promedio: 0.810029
[2026-05-13 12:48:23] Gen 0048 | Mejor fitness: 0.810702 | Promedio: 0.810174
[2026-05-13 12:48:23] Gen 0049 | Mejor fitness: 0.810702 | Promedio: 0.809981
[2026-05-13 12:48:23] Gen 0050 | Mejor fitness: 0.810702 | Promedio: 0.809923
[2026-05-13 12:48:23] Gen 0051 | Mejor fitness: 0.810702 | Promedio: 0.810119
[2026-05-13 12:48:23] Gen 0052 | Mejor fitness: 0.810702 | Promedio: 0.810238
[2026-05-13 12:48:23] Gen 0053 | Mejor fitness: 0.810702 | Promedio: 0.810058
[2026-05-13 12:48:23] Gen 0054 | Mejor fitness: 0.810702 | Promedio: 0.810014
[2026-05-13 12:48:23] Gen 0055 | Mejor fitness: 0.810702 | Promedio: 0.810152
[2026-05-13 12:48:23] Gen 0056 | Mejor fitness: 0.810702 | Promedio: 0.810202
[2026-05-13 12:48:23] Gen 0057 | Mejor fitness: 0.810702 | Promedio: 0.810091
[2026-05-13 12:48:23] Gen 0058 | Mejor fitness: 0.810702 | Promedio: 0.810109
[2026-05-13 12:48:23] Gen 0059 | Mejor fitness: 0.810702 | Promedio: 0.810137
[2026-05-13 12:48:23] Gen 0060 | Mejor fitness: 0.810702 | Promedio: 0.810048
