[2026-05-14 15:16:07] =======================================================
[2026-05-14 15:16:07] NUEVA EJECUCIÓN
[2026-05-14 15:16:07] Material          : PLA
[2026-05-14 15:16:07] Perfil            : Estético
[2026-05-14 15:16:07] Tamaño población  : 400
[2026-05-14 15:16:07] Generaciones      : 1000
[2026-05-14 15:16:07] Tasa cruce        : 0.8
[2026-05-14 15:16:07] Tasa mutación     : 0.1
[2026-05-14 15:16:07] Torneo K          : 3
[2026-05-14 15:16:07] --- Evolución ---
[2026-05-14 15:16:07] Gen 0001 | Mejor fitness: 0.828222 | Promedio: 0.685302
[2026-05-14 15:16:07] Gen 0002 | Mejor fitness: 0.836126 | Promedio: 0.733025
[2026-05-14 15:16:07] Gen 0003 | Mejor fitness: 0.851863 | Promedio: 0.766482
[2026-05-14 15:16:07] Gen 0004 | Mejor fitness: 0.862258 | Promedio: 0.797589
[2026-05-14 15:16:07] Gen 0005 | Mejor fitness: 0.864603 | Promedio: 0.821731
[2026-05-14 15:16:07] Gen 0006 | Mejor fitness: 0.865546 | Promedio: 0.837090
[2026-05-14 15:16:07] Gen 0007 | Mejor fitness: 0.865546 | Promedio: 0.847507
[2026-05-14 15:16:07] Gen 0008 | Mejor fitness: 0.866500 | Promedio: 0.854037
[2026-05-14 15:16:07] Gen 0009 | Mejor fitness: 0.866979 | Promedio: 0.858544
[2026-05-14 15:16:07] Gen 0010 | Mejor fitness: 0.867695 | Promedio: 0.862033
[2026-05-14 15:16:07] Gen 0011 | Mejor fitness: 0.867695 | Promedio: 0.863890
[2026-05-14 15:16:07] Gen 0012 | Mejor fitness: 0.867972 | Promedio: 0.864992
[2026-05-14 15:16:07] Gen 0013 | Mejor fitness: 0.867972 | Promedio: 0.865671
[2026-05-14 15:16:07] Gen 0014 | Mejor fitness: 0.867982 | Promedio: 0.866126
[2026-05-14 15:16:07] Gen 0015 | Mejor fitness: 0.867986 | Promedio: 0.866605
[2026-05-14 15:16:07] Gen 0016 | Mejor fitness: 0.868030 | Promedio: 0.867061
[2026-05-14 15:16:07] Gen 0017 | Mejor fitness: 0.868056 | Promedio: 0.867071
[2026-05-14 15:16:07] Gen 0018 | Mejor fitness: 0.868063 | Promedio: 0.867016
[2026-05-14 15:16:07] Gen 0019 | Mejor fitness: 0.868071 | Promedio: 0.867168
[2026-05-14 15:16:07] Gen 0020 | Mejor fitness: 0.868071 | Promedio: 0.867193
[2026-05-14 15:16:07] Gen 0021 | Mejor fitness: 0.868071 | Promedio: 0.867323
[2026-05-14 15:16:07] Gen 0022 | Mejor fitness: 0.868075 | Promedio: 0.867267
[2026-05-14 15:16:07] Gen 0023 | Mejor fitness: 0.868087 | Promedio: 0.867343
[2026-05-14 15:16:07] Gen 0024 | Mejor fitness: 0.868087 | Promedio: 0.867241
[2026-05-14 15:16:07] Gen 0025 | Mejor fitness: 0.868088 | Promedio: 0.867467
[2026-05-14 15:16:07] Gen 0026 | Mejor fitness: 0.868088 | Promedio: 0.867254
[2026-05-14 15:16:07] Gen 0027 | Mejor fitness: 0.868088 | Promedio: 0.867384
[2026-05-14 15:16:07] Gen 0028 | Mejor fitness: 0.868088 | Promedio: 0.867131
[2026-05-14 15:16:07] Gen 0029 | Mejor fitness: 0.868088 | Promedio: 0.867229
[2026-05-14 15:16:07] Gen 0030 | Mejor fitness: 0.868088 | Promedio: 0.867272
[2026-05-14 15:16:07] Gen 0031 | Mejor fitness: 0.868088 | Promedio: 0.867299
[2026-05-14 15:16:07] Gen 0032 | Mejor fitness: 0.868088 | Promedio: 0.867138
[2026-05-14 15:16:07] Gen 0033 | Mejor fitness: 0.868088 | Promedio: 0.867437
[2026-05-14 15:16:07] Gen 0034 | Mejor fitness: 0.868088 | Promedio: 0.867274
[2026-05-14 15:16:07] Gen 0035 | Mejor fitness: 0.868088 | Promedio: 0.867356
[2026-05-14 15:16:07] Gen 0036 | Mejor fitness: 0.868090 | Promedio: 0.867410
[2026-05-14 15:16:07] Gen 0037 | Mejor fitness: 0.868090 | Promedio: 0.867373
[2026-05-14 15:16:07] Gen 0038 | Mejor fitness: 0.868090 | Promedio: 0.867534
[2026-05-14 15:16:07] Gen 0039 | Mejor fitness: 0.868090 | Promedio: 0.867331
[2026-05-14 15:16:07] Gen 0040 | Mejor fitness: 0.868090 | Promedio: 0.867353
[2026-05-14 15:16:07] Gen 0041 | Mejor fitness: 0.868090 | Promedio: 0.867319
[2026-05-14 15:16:07] Gen 0042 | Mejor fitness: 0.868090 | Promedio: 0.867287
[2026-05-14 15:16:07] Gen 0043 | Mejor fitness: 0.868090 | Promedio: 0.867462
[2026-05-14 15:16:07] Gen 0044 | Mejor fitness: 0.868090 | Promedio: 0.867270
[2026-05-14 15:16:07] Gen 0045 | Mejor fitness: 0.868090 | Promedio: 0.867307
[2026-05-14 15:16:07] Gen 0046 | Mejor fitness: 0.868090 | Promedio: 0.867204
[2026-05-14 15:16:07] Gen 0047 | Mejor fitness: 0.868090 | Promedio: 0.867212
[2026-05-14 15:16:07] Gen 0048 | Mejor fitness: 0.868090 | Promedio: 0.867341
[2026-05-14 15:16:07] Gen 0049 | Mejor fitness: 0.868090 | Promedio: 0.867423
[2026-05-14 15:16:07] Gen 0050 | Mejor fitness: 0.868090 | Promedio: 0.867325
[2026-05-14 15:16:07] Gen 0051 | Mejor fitness: 0.868090 | Promedio: 0.867401
[2026-05-14 15:16:07] Gen 0052 | Mejor fitness: 0.868090 | Promedio: 0.867282
[2026-05-14 15:16:07] Gen 0053 | Mejor fitness: 0.868090 | Promedio: 0.867108
[2026-05-14 15:16:07] Gen 0054 | Mejor fitness: 0.868090 | Promedio: 0.867380
[2026-05-14 15:16:07] Gen 0055 | Mejor fitness: 0.868090 | Promedio: 0.867282
[2026-05-14 15:16:07] Gen 0056 | Mejor fitness: 0.868090 | Promedio: 0.867321
[2026-05-14 15:16:07] Gen 0057 | Mejor fitness: 0.868090 | Promedio: 0.867325
[2026-05-14 15:16:07] Gen 0058 | Mejor fitness: 0.868090 | Promedio: 0.867387
[2026-05-14 15:16:07] Gen 0059 | Mejor fitness: 0.868090 | Promedio: 0.867269
[2026-05-14 15:16:07] Gen 0060 | Mejor fitness: 0.868090 | Promedio: 0.867321
[2026-05-14 15:16:07] Gen 0061 | Mejor fitness: 0.868090 | Promedio: 0.867435
[2026-05-14 15:16:07] Gen 0062 | Mejor fitness: 0.868090 | Promedio: 0.867443
[2026-05-14 15:16:07] Gen 0063 | Mejor fitness: 0.868090 | Promedio: 0.867219
[2026-05-14 15:16:07] Gen 0064 | Mejor fitness: 0.868090 | Promedio: 0.867106
[2026-05-14 15:16:07] Gen 0065 | Mejor fitness: 0.868090 | Promedio: 0.867287
[2026-05-14 15:16:07] Gen 0066 | Mejor fitness: 0.868090 | Promedio: 0.867279
[2026-05-14 15:16:07] Gen 0067 | Mejor fitness: 0.868090 | Promedio: 0.867254
[2026-05-14 15:16:07] Gen 0068 | Mejor fitness: 0.868090 | Promedio: 0.867219
[2026-05-14 15:16:07] Gen 0069 | Mejor fitness: 0.868090 | Promedio: 0.867321
[2026-05-14 15:16:07] Gen 0070 | Mejor fitness: 0.868090 | Promedio: 0.867457
[2026-05-14 15:16:07] Gen 0071 | Mejor fitness: 0.868090 | Promedio: 0.867355
[2026-05-14 15:16:07] Gen 0072 | Mejor fitness: 0.868090 | Promedio: 0.867433
[2026-05-14 15:16:07] Gen 0073 | Mejor fitness: 0.868090 | Promedio: 0.867302
[2026-05-14 15:16:07] Gen 0074 | Mejor fitness: 0.868090 | Promedio: 0.867142
[2026-05-14 15:16:07] Gen 0075 | Mejor fitness: 0.868090 | Promedio: 0.867212
[2026-05-14 15:16:07] Gen 0076 | Mejor fitness: 0.868090 | Promedio: 0.867290
[2026-05-14 15:16:07] Gen 0077 | Mejor fitness: 0.868090 | Promedio: 0.867367
[2026-05-14 15:16:07] Gen 0078 | Mejor fitness: 0.868090 | Promedio: 0.867321
[2026-05-14 15:16:07] Gen 0079 | Mejor fitness: 0.868090 | Promedio: 0.867191
[2026-05-14 15:16:07] Gen 0080 | Mejor fitness: 0.868090 | Promedio: 0.867323
[2026-05-14 15:16:07] Gen 0081 | Mejor fitness: 0.868090 | Promedio: 0.867255
[2026-05-14 15:16:07] Gen 0082 | Mejor fitness: 0.868090 | Promedio: 0.867425
[2026-05-14 15:16:07] Gen 0083 | Mejor fitness: 0.868090 | Promedio: 0.867465
[2026-05-14 15:16:07] Gen 0084 | Mejor fitness: 0.868090 | Promedio: 0.867368
[2026-05-14 15:16:08] Gen 0085 | Mejor fitness: 0.868090 | Promedio: 0.867093
[2026-05-14 15:16:08] Gen 0086 | Mejor fitness: 0.868090 | Promedio: 0.867452
[2026-05-14 15:16:08] Gen 0087 | Mejor fitness: 0.868090 | Promedio: 0.867299
[2026-05-14 15:16:08] Gen 0088 | Mejor fitness: 0.868090 | Promedio: 0.867346
[2026-05-14 15:16:08] Gen 0089 | Mejor fitness: 0.868090 | Promedio: 0.867284
[2026-05-14 15:16:08] Gen 0090 | Mejor fitness: 0.868090 | Promedio: 0.867208
[2026-05-14 15:16:08] Gen 0091 | Mejor fitness: 0.868095 | Promedio: 0.867293
[2026-05-14 15:16:08] Gen 0092 | Mejor fitness: 0.868095 | Promedio: 0.867354
[2026-05-14 15:16:08] Gen 0093 | Mejor fitness: 0.868095 | Promedio: 0.867313
[2026-05-14 15:16:08] Gen 0094 | Mejor fitness: 0.868095 | Promedio: 0.867381
[2026-05-14 15:16:08] Gen 0095 | Mejor fitness: 0.868095 | Promedio: 0.867371
[2026-05-14 15:16:08] Gen 0096 | Mejor fitness: 0.868096 | Promedio: 0.867185
