[2026-05-14 15:26:32] =======================================================
[2026-05-14 15:26:32] NUEVA EJECUCIÓN
[2026-05-14 15:26:32] Material          : ABS
[2026-05-14 15:26:32] Perfil            : Rápido
[2026-05-14 15:26:32] Tamaño población  : 400
[2026-05-14 15:26:32] Generaciones      : 1000
[2026-05-14 15:26:32] Tasa cruce        : 0.8
[2026-05-14 15:26:32] Tasa mutación     : 0.1
[2026-05-14 15:26:32] Torneo K          : 3
[2026-05-14 15:26:32] --- Evolución ---
[2026-05-14 15:26:32] Gen 0001 | Mejor fitness: 0.884413 | Promedio: 0.819779
[2026-05-14 15:26:32] Gen 0002 | Mejor fitness: 0.884413 | Promedio: 0.851870
[2026-05-14 15:26:32] Gen 0003 | Mejor fitness: 0.890304 | Promedio: 0.863800
[2026-05-14 15:26:32] Gen 0004 | Mejor fitness: 0.891748 | Promedio: 0.872733
[2026-05-14 15:26:32] Gen 0005 | Mejor fitness: 0.891748 | Promedio: 0.879771
[2026-05-14 15:26:32] Gen 0006 | Mejor fitness: 0.891784 | Promedio: 0.884285
[2026-05-14 15:26:32] Gen 0007 | Mejor fitness: 0.892476 | Promedio: 0.887117
[2026-05-14 15:26:32] Gen 0008 | Mejor fitness: 0.892476 | Promedio: 0.888735
[2026-05-14 15:26:32] Gen 0009 | Mejor fitness: 0.892645 | Promedio: 0.890074
[2026-05-14 15:26:32] Gen 0010 | Mejor fitness: 0.892768 | Promedio: 0.890936
[2026-05-14 15:26:32] Gen 0011 | Mejor fitness: 0.892768 | Promedio: 0.891534
[2026-05-14 15:26:32] Gen 0012 | Mejor fitness: 0.892837 | Promedio: 0.891874
[2026-05-14 15:26:32] Gen 0013 | Mejor fitness: 0.892883 | Promedio: 0.892163
[2026-05-14 15:26:32] Gen 0014 | Mejor fitness: 0.892915 | Promedio: 0.892275
[2026-05-14 15:26:32] Gen 0015 | Mejor fitness: 0.892915 | Promedio: 0.892358
[2026-05-14 15:26:32] Gen 0016 | Mejor fitness: 0.892920 | Promedio: 0.892518
[2026-05-14 15:26:32] Gen 0017 | Mejor fitness: 0.892933 | Promedio: 0.892568
[2026-05-14 15:26:32] Gen 0018 | Mejor fitness: 0.892933 | Promedio: 0.892477
[2026-05-14 15:26:32] Gen 0019 | Mejor fitness: 0.892937 | Promedio: 0.892596
[2026-05-14 15:26:32] Gen 0020 | Mejor fitness: 0.892937 | Promedio: 0.892604
[2026-05-14 15:26:32] Gen 0021 | Mejor fitness: 0.892938 | Promedio: 0.892695
[2026-05-14 15:26:32] Gen 0022 | Mejor fitness: 0.892939 | Promedio: 0.892640
[2026-05-14 15:26:32] Gen 0023 | Mejor fitness: 0.892939 | Promedio: 0.892741
[2026-05-14 15:26:32] Gen 0024 | Mejor fitness: 0.892939 | Promedio: 0.892746
[2026-05-14 15:26:32] Gen 0025 | Mejor fitness: 0.892939 | Promedio: 0.892692
[2026-05-14 15:26:32] Gen 0026 | Mejor fitness: 0.892939 | Promedio: 0.892686
[2026-05-14 15:26:32] Gen 0027 | Mejor fitness: 0.892945 | Promedio: 0.892673
[2026-05-14 15:26:32] Gen 0028 | Mejor fitness: 0.892945 | Promedio: 0.892603
[2026-05-14 15:26:32] Gen 0029 | Mejor fitness: 0.892945 | Promedio: 0.892671
[2026-05-14 15:26:32] Gen 0030 | Mejor fitness: 0.892945 | Promedio: 0.892679
[2026-05-14 15:26:32] Gen 0031 | Mejor fitness: 0.892945 | Promedio: 0.892636
[2026-05-14 15:26:32] Gen 0032 | Mejor fitness: 0.892945 | Promedio: 0.892670
[2026-05-14 15:26:32] Gen 0033 | Mejor fitness: 0.892945 | Promedio: 0.892705
[2026-05-14 15:26:32] Gen 0034 | Mejor fitness: 0.892945 | Promedio: 0.892692
[2026-05-14 15:26:32] Gen 0035 | Mejor fitness: 0.892947 | Promedio: 0.892713
[2026-05-14 15:26:32] Gen 0036 | Mejor fitness: 0.892950 | Promedio: 0.892618
[2026-05-14 15:26:32] Gen 0037 | Mejor fitness: 0.892950 | Promedio: 0.892548
[2026-05-14 15:26:32] Gen 0038 | Mejor fitness: 0.892951 | Promedio: 0.892617
[2026-05-14 15:26:32] Gen 0039 | Mejor fitness: 0.892951 | Promedio: 0.892725
[2026-05-14 15:26:32] Gen 0040 | Mejor fitness: 0.892951 | Promedio: 0.892632
[2026-05-14 15:26:32] Gen 0041 | Mejor fitness: 0.892951 | Promedio: 0.892734
[2026-05-14 15:26:32] Gen 0042 | Mejor fitness: 0.892951 | Promedio: 0.892663
[2026-05-14 15:26:32] Gen 0043 | Mejor fitness: 0.892951 | Promedio: 0.892706
[2026-05-14 15:26:32] Gen 0044 | Mejor fitness: 0.892951 | Promedio: 0.892662
[2026-05-14 15:26:32] Gen 0045 | Mejor fitness: 0.892951 | Promedio: 0.892728
[2026-05-14 15:26:32] Gen 0046 | Mejor fitness: 0.892951 | Promedio: 0.892654
[2026-05-14 15:26:32] Gen 0047 | Mejor fitness: 0.892951 | Promedio: 0.892702
[2026-05-14 15:26:32] Gen 0048 | Mejor fitness: 0.892951 | Promedio: 0.892758
[2026-05-14 15:26:32] Gen 0049 | Mejor fitness: 0.892951 | Promedio: 0.892738
[2026-05-14 15:26:32] Gen 0050 | Mejor fitness: 0.892951 | Promedio: 0.892646
[2026-05-14 15:26:32] Gen 0051 | Mejor fitness: 0.892951 | Promedio: 0.892635
[2026-05-14 15:26:32] Gen 0052 | Mejor fitness: 0.892951 | Promedio: 0.892757
[2026-05-14 15:26:32] Gen 0053 | Mejor fitness: 0.892951 | Promedio: 0.892713
[2026-05-14 15:26:32] Gen 0054 | Mejor fitness: 0.892951 | Promedio: 0.892718
[2026-05-14 15:26:32] Gen 0055 | Mejor fitness: 0.892951 | Promedio: 0.892656
[2026-05-14 15:26:32] Gen 0056 | Mejor fitness: 0.892951 | Promedio: 0.892696
[2026-05-14 15:26:32] Gen 0057 | Mejor fitness: 0.892951 | Promedio: 0.892707
[2026-05-14 15:26:32] Gen 0058 | Mejor fitness: 0.892951 | Promedio: 0.892700
[2026-05-14 15:26:32] Gen 0059 | Mejor fitness: 0.892951 | Promedio: 0.892716
[2026-05-14 15:26:32] Gen 0060 | Mejor fitness: 0.892951 | Promedio: 0.892650
[2026-05-14 15:26:32] Gen 0061 | Mejor fitness: 0.892951 | Promedio: 0.892761
