[2026-05-14 15:27:53] =======================================================
[2026-05-14 15:27:53] NUEVA EJECUCIÓN
[2026-05-14 15:27:53] Material          : PLA
[2026-05-14 15:27:53] Perfil            : Balanceado
[2026-05-14 15:27:53] Tamaño población  : 400
[2026-05-14 15:27:53] Generaciones      : 1000
[2026-05-14 15:27:53] Tasa cruce        : 0.8
[2026-05-14 15:27:53] Tasa mutación     : 0.1
[2026-05-14 15:27:53] Torneo K          : 3
[2026-05-14 15:27:53] --- Evolución ---
[2026-05-14 15:27:53] Gen 0001 | Mejor fitness: 0.789444 | Promedio: 0.721953
[2026-05-14 15:27:53] Gen 0002 | Mejor fitness: 0.794202 | Promedio: 0.746640
[2026-05-14 15:27:53] Gen 0003 | Mejor fitness: 0.802360 | Promedio: 0.764653
[2026-05-14 15:27:53] Gen 0004 | Mejor fitness: 0.808649 | Promedio: 0.777047
[2026-05-14 15:27:53] Gen 0005 | Mejor fitness: 0.810491 | Promedio: 0.786518
[2026-05-14 15:27:53] Gen 0006 | Mejor fitness: 0.811905 | Promedio: 0.794511
[2026-05-14 15:27:53] Gen 0007 | Mejor fitness: 0.814089 | Promedio: 0.800898
[2026-05-14 15:27:53] Gen 0008 | Mejor fitness: 0.814781 | Promedio: 0.806237
[2026-05-14 15:27:53] Gen 0009 | Mejor fitness: 0.817358 | Promedio: 0.809490
[2026-05-14 15:27:53] Gen 0010 | Mejor fitness: 0.817491 | Promedio: 0.811764
[2026-05-14 15:27:53] Gen 0011 | Mejor fitness: 0.818703 | Promedio: 0.813778
[2026-05-14 15:27:53] Gen 0012 | Mejor fitness: 0.818703 | Promedio: 0.815001
[2026-05-14 15:27:53] Gen 0013 | Mejor fitness: 0.819053 | Promedio: 0.816044
[2026-05-14 15:27:53] Gen 0014 | Mejor fitness: 0.819053 | Promedio: 0.816826
[2026-05-14 15:27:53] Gen 0015 | Mejor fitness: 0.819053 | Promedio: 0.817403
[2026-05-14 15:27:53] Gen 0016 | Mejor fitness: 0.819071 | Promedio: 0.817842
[2026-05-14 15:27:53] Gen 0017 | Mejor fitness: 0.819107 | Promedio: 0.818173
[2026-05-14 15:27:53] Gen 0018 | Mejor fitness: 0.819107 | Promedio: 0.818284
[2026-05-14 15:27:53] Gen 0019 | Mejor fitness: 0.819107 | Promedio: 0.818324
[2026-05-14 15:27:53] Gen 0020 | Mejor fitness: 0.819107 | Promedio: 0.818348
[2026-05-14 15:27:53] Gen 0021 | Mejor fitness: 0.819107 | Promedio: 0.818586
[2026-05-14 15:27:53] Gen 0022 | Mejor fitness: 0.819107 | Promedio: 0.818650
[2026-05-14 15:27:53] Gen 0023 | Mejor fitness: 0.819112 | Promedio: 0.818627
[2026-05-14 15:27:53] Gen 0024 | Mejor fitness: 0.819112 | Promedio: 0.818557
[2026-05-14 15:27:53] Gen 0025 | Mejor fitness: 0.819113 | Promedio: 0.818653
[2026-05-14 15:27:53] Gen 0026 | Mejor fitness: 0.819113 | Promedio: 0.818619
[2026-05-14 15:27:53] Gen 0027 | Mejor fitness: 0.819114 | Promedio: 0.818645
[2026-05-14 15:27:53] Gen 0028 | Mejor fitness: 0.819115 | Promedio: 0.818594
[2026-05-14 15:27:53] Gen 0029 | Mejor fitness: 0.819115 | Promedio: 0.818640
[2026-05-14 15:27:53] Gen 0030 | Mejor fitness: 0.819115 | Promedio: 0.818746
[2026-05-14 15:27:53] Gen 0031 | Mejor fitness: 0.819116 | Promedio: 0.818594
[2026-05-14 15:27:53] Gen 0032 | Mejor fitness: 0.819116 | Promedio: 0.818715
[2026-05-14 15:27:53] Gen 0033 | Mejor fitness: 0.819116 | Promedio: 0.818726
[2026-05-14 15:27:53] Gen 0034 | Mejor fitness: 0.819116 | Promedio: 0.818580
[2026-05-14 15:27:53] Gen 0035 | Mejor fitness: 0.819116 | Promedio: 0.818580
[2026-05-14 15:27:53] Gen 0036 | Mejor fitness: 0.819116 | Promedio: 0.818623
[2026-05-14 15:27:53] Gen 0037 | Mejor fitness: 0.819116 | Promedio: 0.818566
[2026-05-14 15:27:53] Gen 0038 | Mejor fitness: 0.819116 | Promedio: 0.818629
[2026-05-14 15:27:53] Gen 0039 | Mejor fitness: 0.819116 | Promedio: 0.818630
[2026-05-14 15:27:53] Gen 0040 | Mejor fitness: 0.819116 | Promedio: 0.818640
[2026-05-14 15:27:53] Gen 0041 | Mejor fitness: 0.819116 | Promedio: 0.818743
[2026-05-14 15:27:53] Gen 0042 | Mejor fitness: 0.819116 | Promedio: 0.818605
[2026-05-14 15:27:53] Gen 0043 | Mejor fitness: 0.819116 | Promedio: 0.818666
[2026-05-14 15:27:53] Gen 0044 | Mejor fitness: 0.819116 | Promedio: 0.818619
[2026-05-14 15:27:53] Gen 0045 | Mejor fitness: 0.819116 | Promedio: 0.818605
[2026-05-14 15:27:53] Gen 0046 | Mejor fitness: 0.819116 | Promedio: 0.818714
[2026-05-14 15:27:53] Gen 0047 | Mejor fitness: 0.819116 | Promedio: 0.818679
[2026-05-14 15:27:53] Gen 0048 | Mejor fitness: 0.819116 | Promedio: 0.818619
[2026-05-14 15:27:53] Gen 0049 | Mejor fitness: 0.819116 | Promedio: 0.818639
[2026-05-14 15:27:53] Gen 0050 | Mejor fitness: 0.819116 | Promedio: 0.818692
[2026-05-14 15:27:53] Gen 0051 | Mejor fitness: 0.819116 | Promedio: 0.818541
[2026-05-14 15:27:53] Gen 0052 | Mejor fitness: 0.819116 | Promedio: 0.818583
[2026-05-14 15:27:53] Gen 0053 | Mejor fitness: 0.819116 | Promedio: 0.818589
[2026-05-14 15:27:53] Gen 0054 | Mejor fitness: 0.819116 | Promedio: 0.818673
[2026-05-14 15:27:53] Gen 0055 | Mejor fitness: 0.819116 | Promedio: 0.818688
[2026-05-14 15:27:53] Gen 0056 | Mejor fitness: 0.819121 | Promedio: 0.818511
[2026-05-14 15:27:53] Gen 0057 | Mejor fitness: 0.819121 | Promedio: 0.818683
[2026-05-14 15:27:53] Gen 0058 | Mejor fitness: 0.819121 | Promedio: 0.818664
[2026-05-14 15:27:53] Gen 0059 | Mejor fitness: 0.819121 | Promedio: 0.818679
[2026-05-14 15:27:53] Gen 0060 | Mejor fitness: 0.819121 | Promedio: 0.818636
[2026-05-14 15:27:53] Gen 0061 | Mejor fitness: 0.819121 | Promedio: 0.818666
[2026-05-14 15:27:53] Gen 0062 | Mejor fitness: 0.819121 | Promedio: 0.818630
[2026-05-14 15:27:53] Gen 0063 | Mejor fitness: 0.819121 | Promedio: 0.818672
[2026-05-14 15:27:53] Gen 0064 | Mejor fitness: 0.819121 | Promedio: 0.818725
[2026-05-14 15:27:54] Gen 0065 | Mejor fitness: 0.819121 | Promedio: 0.818612
[2026-05-14 15:27:54] Gen 0066 | Mejor fitness: 0.819121 | Promedio: 0.818585
[2026-05-14 15:27:54] Gen 0067 | Mejor fitness: 0.819121 | Promedio: 0.818662
[2026-05-14 15:27:54] Gen 0068 | Mejor fitness: 0.819121 | Promedio: 0.818649
[2026-05-14 15:27:54] Gen 0069 | Mejor fitness: 0.819121 | Promedio: 0.818773
[2026-05-14 15:27:54] Gen 0070 | Mejor fitness: 0.819121 | Promedio: 0.818601
[2026-05-14 15:27:54] Gen 0071 | Mejor fitness: 0.819121 | Promedio: 0.818683
[2026-05-14 15:27:54] Gen 0072 | Mejor fitness: 0.819121 | Promedio: 0.818670
[2026-05-14 15:27:54] Gen 0073 | Mejor fitness: 0.819121 | Promedio: 0.818622
[2026-05-14 15:27:54] Gen 0074 | Mejor fitness: 0.819121 | Promedio: 0.818760
[2026-05-14 15:27:54] Gen 0075 | Mejor fitness: 0.819121 | Promedio: 0.818697
[2026-05-14 15:27:54] Gen 0076 | Mejor fitness: 0.819121 | Promedio: 0.818733
[2026-05-14 15:27:54] Gen 0077 | Mejor fitness: 0.819121 | Promedio: 0.818712
[2026-05-14 15:27:54] Gen 0078 | Mejor fitness: 0.819121 | Promedio: 0.818696
[2026-05-14 15:27:54] Gen 0079 | Mejor fitness: 0.819121 | Promedio: 0.818702
[2026-05-14 15:27:54] Gen 0080 | Mejor fitness: 0.819121 | Promedio: 0.818727
[2026-05-14 15:27:54] Gen 0081 | Mejor fitness: 0.819121 | Promedio: 0.818678
[2026-05-14 15:27:54] Gen 0082 | Mejor fitness: 0.819121 | Promedio: 0.818643
[2026-05-14 15:27:54] Gen 0083 | Mejor fitness: 0.819121 | Promedio: 0.818687
[2026-05-14 15:27:54] Gen 0084 | Mejor fitness: 0.819121 | Promedio: 0.818729
[2026-05-14 15:27:54] Gen 0085 | Mejor fitness: 0.819121 | Promedio: 0.818644
[2026-05-14 15:27:54] Gen 0086 | Mejor fitness: 0.819121 | Promedio: 0.818687
[2026-05-14 15:27:54] Gen 0087 | Mejor fitness: 0.819121 | Promedio: 0.818648
[2026-05-14 15:27:54] Gen 0088 | Mejor fitness: 0.819121 | Promedio: 0.818707
[2026-05-14 15:27:54] Gen 0089 | Mejor fitness: 0.819121 | Promedio: 0.818598
[2026-05-14 15:27:54] Gen 0090 | Mejor fitness: 0.819121 | Promedio: 0.818633
[2026-05-14 15:27:54] Gen 0091 | Mejor fitness: 0.819121 | Promedio: 0.818684
[2026-05-14 15:27:54] Gen 0092 | Mejor fitness: 0.819121 | Promedio: 0.818653
[2026-05-14 15:27:54] Gen 0093 | Mejor fitness: 0.819121 | Promedio: 0.818650
[2026-05-14 15:27:54] Gen 0094 | Mejor fitness: 0.819121 | Promedio: 0.818689
[2026-05-14 15:27:54] Gen 0095 | Mejor fitness: 0.819121 | Promedio: 0.818632
[2026-05-14 15:27:54] Gen 0096 | Mejor fitness: 0.819121 | Promedio: 0.818725
[2026-05-14 15:27:54] Gen 0097 | Mejor fitness: 0.819121 | Promedio: 0.818700
[2026-05-14 15:27:54] Gen 0098 | Mejor fitness: 0.819121 | Promedio: 0.818716
[2026-05-14 15:27:54] Gen 0099 | Mejor fitness: 0.819121 | Promedio: 0.818712
[2026-05-14 15:27:54] Gen 0100 | Mejor fitness: 0.819121 | Promedio: 0.818733
[2026-05-14 15:27:54] Gen 0101 | Mejor fitness: 0.819121 | Promedio: 0.818738
[2026-05-14 15:27:54] Gen 0102 | Mejor fitness: 0.819121 | Promedio: 0.818691
[2026-05-14 15:27:54] Gen 0103 | Mejor fitness: 0.819121 | Promedio: 0.818736
[2026-05-14 15:27:54] Gen 0104 | Mejor fitness: 0.819121 | Promedio: 0.818688
[2026-05-14 15:27:54] Gen 0105 | Mejor fitness: 0.819121 | Promedio: 0.818764
[2026-05-14 15:27:54] Gen 0106 | Mejor fitness: 0.819121 | Promedio: 0.818635
[2026-05-14 15:27:54] Gen 0107 | Mejor fitness: 0.819121 | Promedio: 0.818700
[2026-05-14 15:27:54] Gen 0108 | Mejor fitness: 0.819121 | Promedio: 0.818644
[2026-05-14 15:27:54] Gen 0109 | Mejor fitness: 0.819121 | Promedio: 0.818676
[2026-05-14 15:27:54] Gen 0110 | Mejor fitness: 0.819121 | Promedio: 0.818649
[2026-05-14 15:27:54] Gen 0111 | Mejor fitness: 0.819121 | Promedio: 0.818731
[2026-05-14 15:27:54] Gen 0112 | Mejor fitness: 0.819121 | Promedio: 0.818733
[2026-05-14 15:27:54] Gen 0113 | Mejor fitness: 0.819121 | Promedio: 0.818702
[2026-05-14 15:27:54] Gen 0114 | Mejor fitness: 0.819121 | Promedio: 0.818683
[2026-05-14 15:27:54] Gen 0115 | Mejor fitness: 0.819121 | Promedio: 0.818634
[2026-05-14 15:27:54] Gen 0116 | Mejor fitness: 0.819121 | Promedio: 0.818641
[2026-05-14 15:27:54] Gen 0117 | Mejor fitness: 0.819121 | Promedio: 0.818688
[2026-05-14 15:27:54] Gen 0118 | Mejor fitness: 0.819121 | Promedio: 0.818666
[2026-05-14 15:27:54] Gen 0119 | Mejor fitness: 0.819121 | Promedio: 0.818603
[2026-05-14 15:27:54] Gen 0120 | Mejor fitness: 0.819121 | Promedio: 0.818759
[2026-05-14 15:27:54] Gen 0121 | Mejor fitness: 0.819121 | Promedio: 0.818755
[2026-05-14 15:27:54] Gen 0122 | Mejor fitness: 0.819121 | Promedio: 0.818606
[2026-05-14 15:27:54] Gen 0123 | Mejor fitness: 0.819121 | Promedio: 0.818759
[2026-05-14 15:27:54] Gen 0124 | Mejor fitness: 0.819121 | Promedio: 0.818730
[2026-05-14 15:27:54] Gen 0125 | Mejor fitness: 0.819121 | Promedio: 0.818692
[2026-05-14 15:27:54] Gen 0126 | Mejor fitness: 0.819121 | Promedio: 0.818636
