[2026-05-14 15:30:17] =======================================================
[2026-05-14 15:30:17] NUEVA EJECUCIÓN
[2026-05-14 15:30:17] Material          : PLA
[2026-05-14 15:30:17] Perfil            : Rápido
[2026-05-14 15:30:17] Tamaño población  : 400
[2026-05-14 15:30:17] Generaciones      : 1000
[2026-05-14 15:30:17] Tasa cruce        : 0.8
[2026-05-14 15:30:17] Tasa mutación     : 0.1
[2026-05-14 15:30:17] Torneo K          : 3
[2026-05-14 15:30:17] --- Evolución ---
[2026-05-14 15:30:17] Gen 0001 | Mejor fitness: 0.879098 | Promedio: 0.814583
[2026-05-14 15:30:17] Gen 0002 | Mejor fitness: 0.884865 | Promedio: 0.851290
[2026-05-14 15:30:18] Gen 0003 | Mejor fitness: 0.887444 | Promedio: 0.863358
[2026-05-14 15:30:18] Gen 0004 | Mejor fitness: 0.890481 | Promedio: 0.871434
[2026-05-14 15:30:18] Gen 0005 | Mejor fitness: 0.890722 | Promedio: 0.877571
[2026-05-14 15:30:18] Gen 0006 | Mejor fitness: 0.890722 | Promedio: 0.882306
[2026-05-14 15:30:18] Gen 0007 | Mejor fitness: 0.891212 | Promedio: 0.885560
[2026-05-14 15:30:18] Gen 0008 | Mejor fitness: 0.892283 | Promedio: 0.887863
[2026-05-14 15:30:18] Gen 0009 | Mejor fitness: 0.892283 | Promedio: 0.889191
[2026-05-14 15:30:18] Gen 0010 | Mejor fitness: 0.892283 | Promedio: 0.890204
[2026-05-14 15:30:18] Gen 0011 | Mejor fitness: 0.892378 | Promedio: 0.891034
[2026-05-14 15:30:18] Gen 0012 | Mejor fitness: 0.892640 | Promedio: 0.891494
[2026-05-14 15:30:18] Gen 0013 | Mejor fitness: 0.892762 | Promedio: 0.891788
[2026-05-14 15:30:18] Gen 0014 | Mejor fitness: 0.892762 | Promedio: 0.892012
[2026-05-14 15:30:18] Gen 0015 | Mejor fitness: 0.892762 | Promedio: 0.892224
[2026-05-14 15:30:18] Gen 0016 | Mejor fitness: 0.892808 | Promedio: 0.892293
[2026-05-14 15:30:18] Gen 0017 | Mejor fitness: 0.892811 | Promedio: 0.892304
[2026-05-14 15:30:18] Gen 0018 | Mejor fitness: 0.892817 | Promedio: 0.892457
[2026-05-14 15:30:18] Gen 0019 | Mejor fitness: 0.892817 | Promedio: 0.892377
[2026-05-14 15:30:18] Gen 0020 | Mejor fitness: 0.892817 | Promedio: 0.892562
[2026-05-14 15:30:18] Gen 0021 | Mejor fitness: 0.892817 | Promedio: 0.892419
[2026-05-14 15:30:18] Gen 0022 | Mejor fitness: 0.892817 | Promedio: 0.892506
[2026-05-14 15:30:18] Gen 0023 | Mejor fitness: 0.892817 | Promedio: 0.892565
[2026-05-14 15:30:18] Gen 0024 | Mejor fitness: 0.892817 | Promedio: 0.892547
[2026-05-14 15:30:18] Gen 0025 | Mejor fitness: 0.892818 | Promedio: 0.892568
[2026-05-14 15:30:18] Gen 0026 | Mejor fitness: 0.892819 | Promedio: 0.892564
[2026-05-14 15:30:18] Gen 0027 | Mejor fitness: 0.892821 | Promedio: 0.892553
[2026-05-14 15:30:18] Gen 0028 | Mejor fitness: 0.892823 | Promedio: 0.892588
